Date,2yr,5yr,10yr,20yr,In SNB 3dWindow,In SNB 5dWindow,In SNB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,SNB 10yr - 3dWindow Change,SNB 10yr - 5dWindow Change,SNB 10yr - 7dWindow Change,SNB 10yr - Outside 3dWindow Change,SNB 10yr - Outside 5dWindow Change,SNB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
2012-11-30,-0.1,-0.016,0.53,0.954,False,False,False,False,False,False,-0.014000000000000012,0.0,0.0,0.0,-0.014000000000000012,-0.014000000000000012,-0.014000000000000012,0.0,0.0,0.0,-0.014000000000000012,-0.014000000000000012,-0.014000000000000012
2012-12-03,-0.106,-0.021,0.52,0.945,False,False,False,False,False,False,-0.010000000000000009,0.0,0.0,0.0,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,0.0,0.0,0.0,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009
2012-12-04,-0.136,-0.031,0.535,0.947,False,False,False,False,False,False,0.015000000000000013,0.0,0.0,0.0,0.015000000000000013,0.015000000000000013,0.015000000000000013,0.0,0.0,0.0,0.015000000000000013,0.015000000000000013,0.015000000000000013
2012-12-05,-0.153,-0.045,0.52,0.935,False,False,False,False,False,False,-0.015000000000000013,0.0,0.0,0.0,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,0.0,0.0,0.0,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013
2012-12-06,-0.142,-0.043,0.504,0.921,False,False,False,False,False,False,-0.016000000000000014,0.0,0.0,0.0,-0.016000000000000014,-0.016000000000000014,-0.016000000000000014,0.0,0.0,0.0,-0.016000000000000014,-0.016000000000000014,-0.016000000000000014
2012-12-07,-0.165,-0.062,0.48,0.895,False,False,False,False,False,False,-0.02400000000000002,0.0,0.0,0.0,-0.02400000000000002,-0.02400000000000002,-0.02400000000000002,0.0,0.0,0.0,-0.02400000000000002,-0.02400000000000002,-0.02400000000000002
2012-12-10,-0.164,-0.073,0.452,0.863,False,False,True,False,True,True,-0.02799999999999997,0.0,0.0,-0.02799999999999997,-0.02799999999999997,-0.02799999999999997,0.0,0.0,-0.02799999999999997,-0.02799999999999997,-0.02799999999999997,0.0,0.0
2012-12-11,-0.173,-0.074,0.459,0.873,False,True,True,True,True,True,0.007000000000000006,0.0,0.007000000000000006,0.007000000000000006,0.007000000000000006,0.0,0.0,0.007000000000000006,0.007000000000000006,0.007000000000000006,0.0,0.0,0.0
2012-12-12,-0.14,-0.044,0.498,0.927,True,True,True,True,True,True,0.03899999999999998,0.03899999999999998,0.03899999999999998,0.03899999999999998,0.0,0.0,0.0,0.03899999999999998,0.03899999999999998,0.03899999999999998,0.0,0.0,0.0
2012-12-13,-0.138,-0.039,0.495,0.939,True,True,True,True,True,True,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,0.0,0.0,0.0,-0.0030000000000000027,-0.0030000000000000027,-0.0030000000000000027,0.0,0.0,0.0
2012-12-14,-0.116,-0.025,0.526,0.989,True,True,True,False,True,True,0.031000000000000028,0.031000000000000028,0.031000000000000028,0.031000000000000028,0.0,0.0,0.0,0.0,0.031000000000000028,0.031000000000000028,0.031000000000000028,0.0,0.0
2012-12-17,-0.129,-0.004,0.559,1.002,False,False,False,False,False,False,0.03300000000000003,0.0,0.0,0.0,0.03300000000000003,0.03300000000000003,0.03300000000000003,0.0,0.0,0.0,0.03300000000000003,0.03300000000000003,0.03300000000000003
2012-12-18,-0.135,-0.004,0.553,0.994,False,False,False,False,False,False,-0.006000000000000005,0.0,0.0,0.0,-0.006000000000000005,-0.006000000000000005,-0.006000000000000005,0.0,0.0,0.0,-0.006000000000000005,-0.006000000000000005,-0.006000000000000005
2012-12-19,-0.121,0.015,0.569,1.008,False,False,False,False,False,False,0.015999999999999903,0.0,0.0,0.0,0.015999999999999903,0.015999999999999903,0.015999999999999903,0.0,0.0,0.0,0.015999999999999903,0.015999999999999903,0.015999999999999903
2012-12-20,-0.124,0.013,0.575,1.014,False,False,False,False,False,False,0.006000000000000005,0.0,0.0,0.0,0.006000000000000005,0.006000000000000005,0.006000000000000005,0.0,0.0,0.0,0.006000000000000005,0.006000000000000005,0.006000000000000005
2012-12-21,-0.117,0.027,0.587,1.023,False,False,False,False,False,False,0.01200000000000001,0.0,0.0,0.0,0.01200000000000001,0.01200000000000001,0.01200000000000001,0.0,0.0,0.0,0.01200000000000001,0.01200000000000001,0.01200000000000001
2012-12-24,-0.117,0.027,0.587,1.023,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-25,-0.117,0.027,0.587,1.023,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-26,-0.117,0.027,0.587,1.023,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-27,-0.109,0.03,0.578,1.017,False,False,False,False,False,False,-0.009000000000000008,0.0,0.0,0.0,-0.009000000000000008,-0.009000000000000008,-0.009000000000000008,0.0,0.0,0.0,-0.009000000000000008,-0.009000000000000008,-0.009000000000000008
2012-12-28,-0.116,0.017,0.557,1.004,False,False,False,False,False,False,-0.020999999999999908,0.0,0.0,0.0,-0.020999999999999908,-0.020999999999999908,-0.020999999999999908,0.0,0.0,0.0,-0.020999999999999908,-0.020999999999999908,-0.020999999999999908
2012-12-31,-0.116,0.017,0.557,1.004,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,-0.116,0.017,0.557,1.004,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02,-0.116,0.017,0.557,1.004,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-03,-0.121,0.039,0.595,1.031,False,False,False,False,False,False,0.03799999999999992,0.0,0.0,0.0,0.03799999999999992,0.03799999999999992,0.03799999999999992,0.0,0.0,0.0,0.03799999999999992,0.03799999999999992,0.03799999999999992
2013-01-04,-0.106,0.058,0.607,1.047,False,False,False,False,False,False,0.01200000000000001,0.0,0.0,0.0,0.01200000000000001,0.01200000000000001,0.01200000000000001,0.0,0.0,0.0,0.01200000000000001,0.01200000000000001,0.01200000000000001
2013-01-07,-0.111,0.044,0.597,1.048,False,False,False,False,False,False,-0.010000000000000009,0.0,0.0,0.0,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,0.0,0.0,0.0,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009
2013-01-08,-0.1,0.051,0.603,1.045,False,False,False,False,False,False,0.006000000000000005,0.0,0.0,0.0,0.006000000000000005,0.006000000000000005,0.006000000000000005,0.0,0.0,0.0,0.006000000000000005,0.006000000000000005,0.006000000000000005
2013-01-09,-0.095,0.042,0.603,1.047,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10,-0.07,0.049,0.599,1.05,False,False,False,False,False,False,-0.0040000000000000036,0.0,0.0,0.0,-0.0040000000000000036,-0.0040000000000000036,-0.0040000000000000036,0.0,0.0,0.0,-0.0040000000000000036,-0.0040000000000000036,-0.0040000000000000036
2013-01-11,-0.063,0.075,0.655,1.109,False,False,False,False,False,False,0.05600000000000005,0.0,0.0,0.0,0.05600000000000005,0.05600000000000005,0.05600000000000005,0.0,0.0,0.0,0.05600000000000005,0.05600000000000005,0.05600000000000005
2013-01-14,-0.065,0.095,0.673,1.106,False,False,False,False,False,False,0.018000000000000016,0.0,0.0,0.0,0.018000000000000016,0.018000000000000016,0.018000000000000016,0.0,0.0,0.0,0.018000000000000016,0.018000000000000016,0.018000000000000016
2013-01-15,-0.07,0.09,0.658,1.105,False,False,False,False,False,False,-0.015000000000000013,0.0,0.0,0.0,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013,0.0,0.0,0.0,-0.015000000000000013,-0.015000000000000013,-0.015000000000000013
2013-01-16,-0.031,0.106,0.666,1.12,False,False,False,False,False,False,0.008000000000000007,0.0,0.0,0.0,0.008000000000000007,0.008000000000000007,0.008000000000000007,0.0,0.0,0.0,0.008000000000000007,0.008000000000000007,0.008000000000000007
2013-01-17,-0.011,0.138,0.711,1.175,False,False,False,False,False,False,0.04499999999999993,0.0,0.0,0.0,0.04499999999999993,0.04499999999999993,0.04499999999999993,0.0,0.0,0.0,0.04499999999999993,0.04499999999999993,0.04499999999999993
2013-01-18,0.074,0.207,0.718,1.191,False,False,False,False,False,False,0.007000000000000006,0.0,0.0,0.0,0.007000000000000006,0.007000000000000006,0.007000000000000006,0.0,0.0,0.0,0.007000000000000006,0.007000000000000006,0.007000000000000006
2013-01-21,0.049,0.17,0.701,1.165,False,False,False,False,False,False,-0.017000000000000015,0.0,0.0,0.0,-0.017000000000000015,-0.017000000000000015,-0.017000000000000015,0.0,0.0,0.0,-0.017000000000000015,-0.017000000000000015,-0.017000000000000015
2013-01-22,0.045,0.177,0.709,1.173,False,False,False,False,False,False,0.008000000000000007,0.0,0.0,0.0,0.008000000000000007,0.008000000000000007,0.008000000000000007,0.0,0.0,0.0,0.008000000000000007,0.008000000000000007,0.008000000000000007
