Date,2yr - AG,3yr - AG,5yr - AG,10yr,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,In RBA 3dWindow,In RBA 5dWindow,In RBA 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,RBA 10yr - 3dWindow Change,RBA 10yr - 5dWindow Change,RBA 10yr - 7dWindow Change,RBA 10yr - Outside 3dWindow Change,RBA 10yr - Outside 5dWindow Change,RBA 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
1999-09-02,5.42,5.81,6.08,6.4,3.6,6.0773947368421055,6.4302,6.776,False,False,False,False,False,False,0.03000000000000025,6.3895,0.057599999999999874,0.0,0.0,0.0,0.03000000000000025,0.03000000000000025,0.03000000000000025,0.0,0.0,0.0,0.03000000000000025,0.03000000000000025,0.03000000000000025
1999-09-03,5.47,5.86,6.13,6.46,3.61,6.124809210526315,6.482819078947369,6.838,False,False,False,False,False,False,0.05999999999999961,6.2625,-0.12699999999999978,0.0,0.0,0.0,0.05999999999999961,0.05999999999999961,0.05999999999999961,0.0,0.0,0.0,0.05999999999999961,0.05999999999999961,0.05999999999999961
1999-09-06,5.35,5.73,5.99,6.32,3.57,5.996243421052632,6.3462000000000005,6.6965,False,False,False,False,False,False,-0.13999999999999968,,,0.0,0.0,0.0,-0.13999999999999968,-0.13999999999999968,-0.13999999999999968,0.0,0.0,0.0,-0.13999999999999968,-0.13999999999999968,-0.13999999999999968
1999-09-07,5.4,5.78,6.04,6.36,3.59,6.0569177631578945,6.398975657894737,6.7455,False,False,False,False,False,False,0.040000000000000036,6.3316,,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036
1999-09-08,5.47,5.84,6.1,6.43,3.62,6.11,6.462953947368422,6.816000000000001,False,False,False,False,False,False,0.0699999999999994,6.3127,-0.018899999999999473,0.0,0.0,0.0,0.0699999999999994,0.0699999999999994,0.0699999999999994,0.0,0.0,0.0,0.0699999999999994,0.0699999999999994,0.0699999999999994
1999-09-09,5.51,5.88,6.15,6.45,3.67,6.165916118421053,6.499641447368422,6.835,False,False,False,False,False,False,0.020000000000000462,6.3588,0.04609999999999914,0.0,0.0,0.0,0.020000000000000462,0.020000000000000462,0.020000000000000462,0.0,0.0,0.0,0.020000000000000462,0.020000000000000462,0.020000000000000462
1999-09-10,5.54,5.9,6.16,6.48,3.7,6.187657894736842,6.525157894736842,6.8705,False,False,False,False,False,False,0.03000000000000025,6.2845,-0.07429999999999914,0.0,0.0,0.0,0.03000000000000025,0.03000000000000025,0.03000000000000025,0.0,0.0,0.0,0.03000000000000025,0.03000000000000025,0.03000000000000025
1999-09-13,5.49,5.83,6.1,6.37,3.67,6.12275,6.435288815789474,6.746,False,False,False,False,False,False,-0.11000000000000032,6.3133,0.028799999999999493,0.0,0.0,0.0,-0.11000000000000032,-0.11000000000000032,-0.11000000000000032,0.0,0.0,0.0,-0.11000000000000032,-0.11000000000000032,-0.11000000000000032
1999-09-14,5.52,5.84,6.09,6.35,3.67,6.129483552631579,6.434284210526315,6.724,False,False,False,False,False,False,-0.020000000000000462,6.3784,0.06510000000000016,0.0,0.0,0.0,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,0.0,0.0,0.0,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462
1999-09-15,5.57,5.87,6.14,6.46,3.73,6.1690164473684215,6.486190789473684,6.834,False,False,False,False,False,False,0.11000000000000032,6.3517,-0.026699999999999946,0.0,0.0,0.0,0.11000000000000032,0.11000000000000032,0.11000000000000032,0.0,0.0,0.0,0.11000000000000032,0.11000000000000032,0.11000000000000032
1999-09-16,5.52,5.8,6.05,6.37,3.71,6.086052631578948,6.393144736842105,6.7305,False,False,False,False,False,False,-0.08999999999999986,6.2935,-0.05820000000000025,0.0,0.0,0.0,-0.08999999999999986,-0.08999999999999986,-0.08999999999999986,0.0,0.0,0.0,-0.08999999999999986,-0.08999999999999986,-0.08999999999999986
1999-09-17,5.42,5.7,5.94,6.27,3.68,5.981855263157895,6.2841,6.6235,False,False,False,False,False,False,-0.10000000000000053,6.2529,-0.040599999999999525,0.0,0.0,0.0,-0.10000000000000053,-0.10000000000000053,-0.10000000000000053,0.0,0.0,0.0,-0.10000000000000053,-0.10000000000000053,-0.10000000000000053
1999-09-20,5.47,5.73,5.98,6.31,3.71,6.022460526315789,6.323282894736842,6.659,False,False,False,False,False,False,0.040000000000000036,6.2946,0.041699999999999626,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036
1999-09-21,5.49,5.75,5.99,6.34,3.72,6.041924342105263,6.3552,6.692,False,False,False,False,False,False,0.03000000000000025,6.3174,0.022800000000000153,0.0,0.0,0.0,0.03000000000000025,0.03000000000000025,0.03000000000000025,0.0,0.0,0.0,0.03000000000000025,0.03000000000000025,0.03000000000000025
1999-09-22,5.48,5.74,5.99,6.36,3.75,6.041532894736841,6.3716921052631585,6.7245,False,False,False,False,False,False,0.020000000000000462,6.3065,-0.010900000000000354,0.0,0.0,0.0,0.020000000000000462,0.020000000000000462,0.020000000000000462,0.0,0.0,0.0,0.020000000000000462,0.020000000000000462,0.020000000000000462
