"Date","Price","Open","High","Low","Vol.","Change %"
"08/14/2020","106.59","106.90","107.04","106.43","","-0.31%"
"08/13/2020","106.92","106.89","107.06","106.56","","0.03%"
"08/12/2020","106.89","106.51","107.03","106.44","","0.39%"
"08/11/2020","106.48","105.96","106.70","105.92","","0.50%"
"08/10/2020","105.95","105.96","106.21","105.71","","0.04%"
"08/07/2020","105.91","105.51","106.07","105.47","","0.35%"
"08/06/2020","105.54","105.57","105.71","105.29","","-0.03%"
"08/05/2020","105.57","105.72","105.89","105.32","","-0.12%"
"08/04/2020","105.70","105.96","106.21","105.64","","-0.23%"
"08/03/2020","105.94","105.89","106.48","105.57","","0.06%"
"07/31/2020","105.88","104.71","106.07","104.18","","1.11%"
"07/30/2020","104.72","104.92","105.31","104.68","","-0.18%"
"07/29/2020","104.91","105.06","105.25","104.76","","-0.16%"
"07/28/2020","105.08","105.36","105.70","104.95","","-0.28%"
"07/27/2020","105.37","105.97","106.21","105.11","","-0.71%"
"07/24/2020","106.12","106.86","106.92","105.68","","-0.68%"
"07/23/2020","106.85","107.15","107.24","106.71","","-0.27%"
"07/22/2020","107.14","106.78","107.29","106.71","","0.36%"
"07/21/2020","106.76","107.26","107.38","106.68","","-0.45%"
"07/20/2020","107.24","107.11","107.53","107.01","","0.23%"
"07/17/2020","106.99","107.26","107.37","106.93","","-0.25%"
"07/16/2020","107.26","106.93","107.41","106.83","","0.32%"
"07/15/2020","106.92","107.23","107.32","106.66","","-0.29%"
"07/14/2020","107.23","107.29","107.44","107.11","","-0.03%"
"07/13/2020","107.26","106.90","107.33","106.78","","0.35%"
"07/10/2020","106.89","107.21","107.27","106.64","","-0.28%"
"07/09/2020","107.19","107.31","107.41","107.10","","-0.06%"
"07/08/2020","107.25","107.52","107.71","107.19","","-0.24%"
"07/07/2020","107.51","107.35","107.80","107.24","","0.15%"
"07/06/2020","107.35","107.50","107.78","107.25","","-0.14%"
"07/03/2020","107.50","107.50","107.58","107.43","","0.02%"
"07/02/2020","107.48","107.47","107.74","107.33","","0.02%"
"07/01/2020","107.46","107.93","108.17","107.36","","-0.43%"
"06/30/2020","107.92","107.57","108.00","107.52","","0.33%"
"06/29/2020","107.56","107.19","107.89","107.04","","0.33%"
"06/26/2020","107.21","107.24","107.37","106.79","","0.02%"
"06/25/2020","107.19","107.06","107.46","106.99","","0.16%"
"06/24/2020","107.02","106.52","107.08","106.38","","0.48%"
"06/23/2020","106.51","106.91","107.23","106.07","","-0.34%"
"06/22/2020","106.87","106.90","107.02","106.76","","0.00%"
"06/19/2020","106.87","106.97","107.07","106.76","","-0.08%"
"06/18/2020","106.96","107.00","107.14","106.67","","-0.04%"
"06/17/2020","107.00","107.35","107.46","106.95","","-0.30%"
"06/16/2020","107.32","107.33","107.64","107.21","","0.01%"
"06/15/2020","107.31","107.33","107.58","107.00","","-0.03%"
"06/12/2020","107.34","106.88","107.56","106.58","","0.46%"
"06/11/2020","106.85","107.13","107.24","106.57","","-0.22%"
"06/10/2020","107.09","107.72","107.89","106.99","","-0.58%"
"06/09/2020","107.72","108.44","108.55","107.61","","-0.65%"
"06/08/2020","108.42","109.68","109.70","108.24","","-1.06%"
"06/05/2020","109.58","109.14","109.86","109.04","","0.41%"
"06/04/2020","109.13","108.89","109.20","108.61","","0.22%"
"06/03/2020","108.89","108.68","109.00","108.42","","0.21%"
"06/02/2020","108.66","107.59","108.78","107.50","","1.00%"
"06/01/2020","107.58","107.74","107.86","107.38","","-0.18%"
"05/29/2020","107.77","107.67","107.90","107.07","","0.13%"
"05/28/2020","107.63","107.72","107.90","107.57","","-0.07%"
"05/27/2020","107.71","107.54","107.96","107.36","","0.18%"
"05/26/2020","107.52","107.71","107.93","107.40","","-0.16%"
"05/25/2020","107.69","107.58","107.79","107.56","","0.07%"
"05/22/2020","107.61","107.61","107.77","107.32","","0.00%"
"05/21/2020","107.61","107.50","107.86","107.47","","0.09%"
"05/20/2020","107.51","107.71","107.99","107.33","","-0.16%"
"05/19/2020","107.68","107.32","108.09","107.29","","0.33%"
"05/18/2020","107.33","107.08","107.51","107.04","","0.29%"
"05/15/2020","107.02","107.25","107.44","106.85","","-0.21%"
"05/14/2020","107.24","107.04","107.38","106.77","","0.21%"
"05/13/2020","107.02","107.11","107.28","106.74","","-0.10%"
"05/12/2020","107.13","107.68","107.71","107.12","","-0.49%"
"05/11/2020","107.66","106.64","107.78","106.54","","0.95%"
"05/08/2020","106.65","106.29","106.75","106.22","","0.36%"
"05/07/2020","106.27","106.11","106.67","105.99","","0.12%"
"05/06/2020","106.14","106.61","106.64","105.98","","-0.41%"
"05/05/2020","106.58","106.78","106.91","106.42","","-0.14%"
"05/04/2020","106.73","106.82","107.08","106.63","","-0.19%"
"05/01/2020","106.93","107.18","107.41","106.60","","-0.22%"
"04/30/2020","107.17","106.71","107.51","106.40","","0.44%"
"04/29/2020","106.70","106.88","106.90","106.36","","-0.15%"
"04/28/2020","106.86","107.22","107.35","106.56","","-0.34%"
"04/27/2020","107.22","107.49","107.64","106.99","","-0.26%"
"04/24/2020","107.50","107.58","107.76","107.37","","-0.07%"
