"Date","Price","Open","High","Low","Vol.","Change %"
"02/15/2000","1.4555","1.4569","1.4598","1.4550","","-0.06%"
"02/14/2000","1.4564","1.4496","1.4585","1.4466","","0.51%"
"02/11/2000","1.4490","1.4480","1.4533","1.4447","","0.03%"
"02/10/2000","1.4486","1.4442","1.4537","1.4434","","0.24%"
"02/09/2000","1.4451","1.4448","1.4477","1.4413","","-0.01%"
"02/08/2000","1.4452","1.4483","1.4507","1.4450","","-0.15%"
"02/07/2000","1.4473","1.4405","1.4477","1.4370","","0.51%"
"02/04/2000","1.4400","1.4420","1.4477","1.4396","","-0.06%"
"02/03/2000","1.4409","1.4378","1.4437","1.4357","","0.16%"
"02/02/2000","1.4386","1.4486","1.4548","1.4377","","-0.66%"
"02/01/2000","1.4482","1.4475","1.4545","1.4444","","0.16%"
"01/31/2000","1.4459","1.4457","1.4516","1.4440","","0.04%"
"01/28/2000","1.4453","1.4345","1.4510","1.4325","","0.72%"
"01/27/2000","1.4350","1.4400","1.4401","1.4315","","-0.26%"
"01/26/2000","1.4387","1.4370","1.4421","1.4363","","0.14%"
"01/25/2000","1.4367","1.4435","1.4450","1.4353","","-0.39%"
"01/24/2000","1.4423","1.4403","1.4435","1.4379","","0.15%"
"01/21/2000","1.4402","1.4464","1.4493","1.4373","","-0.45%"
"01/20/2000","1.4467","1.4520","1.4530","1.4435","","-0.35%"
"01/19/2000","1.4518","1.4505","1.4540","1.4480","","0.11%"
"01/18/2000","1.4502","1.4499","1.4521","1.4471","","0.06%"
"01/17/2000","1.4494","1.4505","1.4526","1.4488","","-0.01%"
"01/14/2000","1.4496","1.4502","1.4523","1.4453","","-0.05%"
"01/13/2000","1.4503","1.4545","1.4546","1.4485","","-0.28%"
"01/12/2000","1.4543","1.4563","1.4581","1.4515","","-0.24%"
"01/11/2000","1.4578","1.4565","1.4591","1.4547","","0.16%"
"01/10/2000","1.4555","1.4570","1.4590","1.4525","","-0.02%"
"01/07/2000","1.4558","1.4595","1.4620","1.4555","","-0.25%"
"01/06/2000","1.4595","1.4502","1.4602","1.4496","","0.69%"
"01/05/2000","1.4495","1.4528","1.4561","1.4484","","-0.17%"
"01/04/2000","1.4520","1.4470","1.4533","1.4438","","0.37%"
"01/03/2000","1.4466","1.4458","1.4475","1.4410","","0.04%"
"12/31/1999","1.4460","1.4540","1.4557","1.4425","","-0.52%"
"12/30/1999","1.4535","1.4526","1.4550","1.4505","","0.02%"
"12/29/1999","1.4532","1.4506","1.4537","1.4475","","0.19%"
"12/28/1999","1.4505","1.4577","1.4623","1.4478","","-0.56%"
"12/27/1999","1.4586","1.4677","1.4693","1.4585","","-0.60%"
"12/24/1999","1.4674","1.4714","1.4721","1.4671","","-0.14%"
"12/23/1999","1.4695","1.4762","1.4780","1.4685","","-0.45%"
"12/22/1999","1.4762","1.4760","1.4781","1.4743","","-0.05%"
"12/21/1999","1.4770","1.4796","1.4809","1.4755","","-0.24%"
"12/20/1999","1.4805","1.4776","1.4829","1.4769","","0.17%"
"12/17/1999","1.4780","1.4753","1.4787","1.4737","","0.13%"
"12/16/1999","1.4761","1.4825","1.4847","1.4755","","-0.48%"
"12/15/1999","1.4832","1.4812","1.4853","1.4806","","0.11%"
"12/14/1999","1.4815","1.4785","1.4824","1.4774","","0.18%"
"12/13/1999","1.4789","1.4774","1.4817","1.4763","","0.16%"
"12/10/1999","1.4765","1.4758","1.4799","1.4745","","0.12%"
"12/09/1999","1.4747","1.4785","1.4797","1.4735","","-0.22%"
"12/08/1999","1.4780","1.4775","1.4805","1.4763","","0.09%"
"12/07/1999","1.4766","1.4738","1.4770","1.4720","","0.18%"
"12/06/1999","1.4739","1.4790","1.4830","1.4712","","-0.40%"
"12/03/1999","1.4798","1.4826","1.4829","1.4760","","-0.15%"
"12/02/1999","1.4820","1.4737","1.4827","1.4730","","0.60%"
"12/01/1999","1.4732","1.4741","1.4755","1.4725","","-0.06%"
"11/30/1999","1.4741","1.4742","1.4763","1.4701","","0.03%"
"11/29/1999","1.4737","1.4676","1.4766","1.4674","","0.35%"
"11/26/1999","1.4686","1.4665","1.4697","1.4649","","0.13%"
"11/25/1999","1.4667","1.4665","1.4688","1.4646","","0.01%"
"11/24/1999","1.4666","1.4662","1.4703","1.4640","","-0.01%"
"11/23/1999","1.4668","1.4615","1.4673","1.4613","","0.36%"
"11/22/1999","1.4616","1.4623","1.4637","1.4599","","-0.01%"
"11/19/1999","1.4617","1.4651","1.4668","1.4599","","-0.23%"
"11/18/1999","1.4651","1.4696","1.4705","1.4629","","-0.30%"
"11/17/1999","1.4695","1.4627","1.4717","1.4627","","0.49%"
"11/16/1999","1.4623","1.4652","1.4697","1.4614","","-0.22%"
"11/15/1999","1.4655","1.4632","1.4657","1.4611","","0.19%"
"11/12/1999","1.4627","1.4659","1.4665","1.4602","","-0.18%"
"11/11/1999","1.4654","1.4682","1.4687","1.4650","","-0.22%"
"11/10/1999","1.4686","1.4745","1.4751","1.4680","","-0.42%"
"11/09/1999","1.4748","1.4714","1.4765","1.4676","","0.21%"
"11/08/1999","1.4717","1.4676","1.4725","1.4655","","0.22%"
"11/05/1999","1.4685","1.4633","1.4697","1.4552","","0.36%"
"11/04/1999","1.4633","1.4680","1.4690","1.4600","","-0.30%"
"11/03/1999","1.4677","1.4702","1.4713","1.4668","","-0.14%"
"11/02/1999","1.4697","1.4660","1.4709","1.4650","","0.25%"
"11/01/1999","1.4660","1.4708","1.4721","1.4655","","-0.30%"
"10/29/1999","1.4704","1.4722","1.4777","1.4699","","-0.16%"
"10/28/1999","1.4728","1.4725","1.4749","1.4691","","0.01%"
"10/27/1999","1.4726","1.4736","1.4747","1.4689","","-0.06%"
"10/26/1999","1.4735","1.4726","1.4749","1.4681","","0.07%"
"10/25/1999","1.4724","1.4770","1.4792","1.4707","","-0.31%"
"10/22/1999","1.4770","1.4822","1.4833","1.4745","","-0.32%"
"10/21/1999","1.4817","1.4870","1.4886","1.4802","","-0.28%"
"10/20/1999","1.4858","1.4896","1.4910","1.4854","","-0.24%"
"10/19/1999","1.4893","1.4940","1.4969","1.4885","","-0.31%"
"10/18/1999","1.4939","1.4874","1.4970","1.4863","","0.40%"
"10/15/1999","1.4880","1.4806","1.4905","1.4791","","0.53%"
"10/14/1999","1.4802","1.4823","1.4834","1.4794","","-0.11%"
