Date,2yr - AG,3yr - AG,5yr - AG,10yr,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,In RBA 3dWindow,In RBA 5dWindow,In RBA 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,RBA 10yr - 3dWindow Change,RBA 10yr - 5dWindow Change,RBA 10yr - 7dWindow Change,RBA 10yr - Outside 3dWindow Change,RBA 10yr - Outside 5dWindow Change,RBA 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,Price,Open,High,Low,Vol.,Change %,Spread
2018-08-15,1.984,2.028,2.221,2.581,0.721,,,,False,False,False,False,False,False,-0.008,2.8601,-0.0345999999999997,0.0,0.0,0.0,-0.008,-0.008,-0.008,0.0,0.0,0.0,-0.008,-0.008,-0.008,1.3813,1.38,1.3888,1.3798,,0.07%,0.0
2018-08-16,1.978,2.032,2.21,2.556,0.668,,,,False,False,False,False,False,False,-0.0249999999999999,2.8703,0.0101999999999997,0.0,0.0,0.0,-0.0249999999999999,-0.0249999999999999,-0.0249999999999999,0.0,0.0,0.0,-0.0249999999999999,-0.0249999999999999,-0.0249999999999999,1.3772,1.3816,1.3851,1.372,,-0.30%,0.0
2018-08-17,1.976,2.026,2.201,2.545,0.656,,,,False,False,False,False,False,False,-0.0110000000000001,2.8669,-0.0034,0.0,0.0,0.0,-0.0110000000000001,-0.0110000000000001,-0.0110000000000001,0.0,0.0,0.0,-0.0110000000000001,-0.0110000000000001,-0.0110000000000001,1.3672,1.3772,1.3789,1.3659,,-0.73%,0.0
2018-08-20,1.976,2.02,2.195,2.525,0.641,,,,False,False,False,False,False,False,-0.02,2.822,-0.0448999999999997,0.0,0.0,0.0,-0.02,-0.02,-0.02,0.0,0.0,0.0,-0.02,-0.02,-0.02,1.3624,1.3669,1.3708,1.3615,,-0.35%,0.0
2018-08-21,1.991,2.039,2.212,2.536,0.658,,,,False,False,False,False,False,False,0.0110000000000001,2.8406,0.0185999999999997,0.0,0.0,0.0,0.0110000000000001,0.0110000000000001,0.0110000000000001,0.0,0.0,0.0,0.0110000000000001,0.0110000000000001,0.0110000000000001,1.3567,1.3626,1.3639,1.3545,,-0.42%,0.0043310080497246
2018-08-22,1.988,2.034,2.207,2.541,0.664,,,,False,False,False,False,False,False,0.0049999999999998,2.8175,-0.0230999999999999,0.0,0.0,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,0.0,0.0,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,1.3611,1.3565,1.3635,1.3563,,0.32%,0.0
2018-08-23,1.968,2.014,2.193,2.531,0.66,,,,False,False,False,False,False,False,-0.0099999999999997,2.8108,-0.0066999999999999,0.0,0.0,0.0,-0.0099999999999997,-0.0099999999999997,-0.0099999999999997,0.0,0.0,0.0,-0.0099999999999997,-0.0099999999999997,-0.0099999999999997,1.3792,1.3607,1.3815,1.3599,,1.33%,0.0142197766679127
2018-08-24,1.976,2.029,2.207,2.535,0.667,,,,False,False,False,False,False,False,0.004,2.8142,0.0034,0.0,0.0,0.0,0.004,0.004,0.004,0.0,0.0,0.0,0.004,0.004,0.004,1.3644,1.3799,1.3816,1.3611,,-1.07%,0.0004274353573277
2018-08-27,1.986,2.043,2.221,2.54,0.67,,,,False,False,False,False,False,False,0.0049999999999998,2.8407,0.0264999999999999,0.0,0.0,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,0.0,0.0,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,1.36,1.366,1.3688,1.3592,,-0.32%,0.0028945993504917
2018-08-28,1.988,2.051,2.232,2.56,0.679,,,,False,False,False,False,False,False,0.02,2.8768,0.0360999999999998,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,1.3628,1.36,1.3659,1.358,,0.21%,0.0
2018-08-29,1.964,2.018,2.203,2.549,0.681,,,,False,False,False,False,False,False,-0.0110000000000001,2.8746,-0.0021999999999997,0.0,0.0,0.0,-0.0110000000000001,-0.0110000000000001,-0.0110000000000001,0.0,0.0,0.0,-0.0110000000000001,-0.0110000000000001,-0.0110000000000001,1.3679,1.3629,1.3749,1.3607,,0.37%,0.0
2018-08-30,1.982,2.029,2.214,2.569,0.711,,,,False,False,False,False,False,False,0.02,2.8471,-0.0274999999999998,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,1.3762,1.3679,1.3798,1.3672,,0.61%,0.0
2018-08-31,1.96,1.994,2.174,2.52,0.693,,,,False,False,False,False,False,False,-0.0489999999999999,2.8556,0.0084999999999997,0.0,0.0,0.0,-0.0489999999999999,-0.0489999999999999,-0.0489999999999999,0.0,0.0,0.0,-0.0489999999999999,-0.0489999999999999,-0.0489999999999999,1.3897,1.3768,1.3939,1.3759,,0.98%,0.0024354774574239
2018-09-03,1.959,1.983,2.161,2.52,0.702,,,,True,True,True,False,False,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3863,1.3892,1.3958,1.3844,,-0.24%,0.0065295736050377
2018-09-04,1.973,1.998,2.172,2.524,0.709,,,,True,True,True,False,False,False,0.004,2.8968,,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,1.3928,1.3862,1.3975,1.3821,,0.47%,0.0058266776750215
2018-09-05,1.99,2.021,2.199,2.549,0.726,,,,True,True,True,False,False,False,0.0249999999999999,2.8983,0.0015,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0249999999999999,0.0249999999999999,0.0249999999999999,1.3903,1.3936,1.4001,1.3853,,-0.18%,0.0046548721032827
2018-09-06,1.986,2.011,2.191,2.564,0.74,,,,False,True,True,False,False,False,0.0150000000000001,2.879,-0.0192999999999998,0.0,0.0150000000000001,0.0150000000000001,0.0150000000000001,0.0,0.0,0.0,0.0,0.0,0.0150000000000001,0.0150000000000001,0.0150000000000001,1.3893,1.3901,1.3957,1.3864,,-0.07%,0.0019495826796717
2018-09-07,1.975,1.998,2.173,2.546,0.736,,,,False,False,True,False,False,False,-0.0180000000000002,2.9365,0.0575000000000001,0.0,0.0,-0.0180000000000002,-0.0180000000000002,-0.0180000000000002,0.0,0.0,0.0,0.0,-0.0180000000000002,-0.0180000000000002,-0.0180000000000002,1.4071,1.3879,1.4088,1.3872,,1.28%,0.0019437104269767
2018-09-10,1.993,2.017,2.192,2.576,0.754,,,,False,False,False,False,False,False,0.0300000000000002,2.9266,-0.0099,0.0,0.0,0.0,0.0300000000000002,0.0300000000000002,0.0300000000000002,0.0,0.0,0.0,0.0300000000000002,0.0300000000000002,0.0300000000000002,1.4055,1.4051,1.4088,1.4017,,-0.11%,0.0023066180131527
2018-09-11,1.997,2.022,2.194,2.581,0.754,,,,False,False,False,False,False,False,0.0049999999999998,2.9703,0.0436999999999998,0.0,0.0,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,0.0,0.0,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,1.4036,1.4058,1.4119,1.4028,,-0.14%,0.0001500954478464
2018-09-12,1.996,2.021,2.197,2.586,0.756,,,,False,False,False,False,False,False,0.0049999999999998,2.9543,-0.016,0.0,0.0,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,0.0,0.0,0.0,0.0049999999999998,0.0049999999999998,0.0049999999999998,1.3949,1.4033,1.4098,1.392,,-0.62%,0.0
2018-09-13,2.021,2.052,2.221,2.604,0.768,,,,False,False,False,False,False,False,0.0180000000000002,2.9564,0.0020999999999999,0.0,0.0,0.0,0.0180000000000002,0.0180000000000002,0.0180000000000002,0.0,0.0,0.0,0.0180000000000002,0.0180000000000002,0.0180000000000002,1.3902,1.3951,1.3957,1.3829,,-0.34%,0.0041442930717677
2018-09-14,2.011,2.039,2.209,2.603,0.756,,,,False,False,False,False,False,False,-0.0009999999999998,2.9835,0.0270999999999999,0.0,0.0,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,1.3981,1.3905,1.3989,1.3857,,0.57%,0.0040115485374975
2018-09-17,2.015,2.045,2.222,2.623,0.78,,,,False,False,False,False,False,False,0.02,2.9835,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,1.3923,1.3979,1.4005,1.3896,,-0.41%,0.0048611245898081
2018-09-18,2.051,2.085,2.263,2.661,0.758,,,,False,False,False,False,False,False,0.0379999999999998,3.0456,0.0621,0.0,0.0,0.0,0.0379999999999998,0.0379999999999998,0.0379999999999998,0.0,0.0,0.0,0.0379999999999998,0.0379999999999998,0.0379999999999998,1.3851,1.3927,1.3999,1.3842,,-0.52%,0.0
