Date,1yr,2yr,5yr,10yr,20yr,30yr,In ECB 3dWindow,In ECB 5dWindow,In ECB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,ECB 10yr - 3dWindow Change,ECB 10yr - 5dWindow Change,ECB 10yr - 7dWindow Change,ECB 10yr - Outside 3dWindow Change,ECB 10yr - Outside 5dWindow Change,ECB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,US10y,US10y Change,Price,Open,High,Low,Vol.,Change %,Spread,country,gdp_per_cap,log_gpc,qrtly_chng_gpc,yearly_chng_gpc,log_qrtly_chng_gpc,log_yearly_chng_gpc,vix,dxy
2007-10-02,4.044,4.008,4.041,4.329,4.603,4.586,False,True,True,0,False,False,-0.0150000000000005,0.0,-0.0150000000000005,-0.0150000000000005,-0.0150000000000005,0.0,0.0,0.0,0.0,0.0,-0.0150000000000005,-0.0150000000000005,-0.0150000000000005,4.6599,-0.0237999999999996,"0,7067","0,7025",0.7073,0.7022,,"0,57%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,,78.300003
2007-10-03,4.045,4.025,4.148,4.315,4.58,4.558,True,True,True,0,False,False,-0.0139999999999993,-0.0139999999999993,-0.0139999999999993,-0.0139999999999993,0.0,0.0,0.0,0.0,0.0,0.0,-0.0139999999999993,-0.0139999999999993,-0.0139999999999993,4.6752,0.0152999999999998,"0,7097","0,7066",0.7101,0.7041,,"0,42%",0.21229811101794,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,,78.57
2007-10-04,4.06,4.03,4.163,4.333,4.602,4.576,True,True,True,0,False,False,0.0179999999999997,0.0179999999999997,0.0179999999999997,0.0179999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0179999999999997,0.0179999999999997,0.0179999999999997,4.6542,-0.0209999999999999,"0,7074","0,7096",0.7108,0.7066,,"-0,32%",0.42794483726020005,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,12.68,78.480003
2007-10-05,4.027,3.997,4.12,4.286,4.537,4.525,True,True,True,0,False,False,-0.0470000000000006,-0.0470000000000006,-0.0470000000000006,-0.0470000000000006,0.0,0.0,0.0,0.0,0.0,0.0,-0.0470000000000006,-0.0470000000000006,-0.0470000000000006,4.7705,0.1162999999999998,"0,7075","0,7075",0.7127,0.7063,,"0,01%",0.80754957087498,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,13.6,78.309998
2007-10-08,4.028,4.035,4.17,4.352,4.597,4.591,False,False,False,0,False,False,0.0660000000000007,0.0,0.0,0.0,0.0660000000000007,0.0660000000000007,0.0660000000000007,0.0,0.0,0.0,0.0660000000000007,0.0660000000000007,0.0660000000000007,,,"0,7114","0,7068",0.7124,0.7064,,"0,55%",0.25121535558447,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,28.3,78.669998
2007-10-09,4.03,4.046,4.107,4.342,4.584,4.587,False,False,False,0,False,False,-0.0100000000000006,0.0,0.0,0.0,-0.0100000000000006,-0.0100000000000006,-0.0100000000000006,0.0,0.0,0.0,-0.0100000000000006,-0.0100000000000006,-0.0100000000000006,4.7781,,"0,7088","0,7113",0.7136,0.7084,,"-0,37%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,27.38,78.529999
2007-10-10,4.053,4.08,4.165,4.338,4.583,4.577,False,False,False,0,False,False,-0.0039999999999995,0.0,0.0,0.0,-0.0039999999999995,-0.0039999999999995,-0.0039999999999995,0.0,0.0,0.0,-0.0039999999999995,-0.0039999999999995,-0.0039999999999995,4.7739,-0.0041999999999999,"0,7070","0,7090",0.7096,0.7055,,"-0,25%",0.0,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,16.67,78.379997
2007-10-11,4.069,4.069,3.952,4.339,4.587,4.572,False,False,False,0,False,False,0.0010000000000003,0.0,0.0,0.0,0.0010000000000003,0.0010000000000003,0.0010000000000003,0.0,0.0,0.0,0.0010000000000003,0.0010000000000003,0.0010000000000003,4.7806,0.0066999999999994,"0,7044","0,7071",0.7075,0.702,,"-0,37%",0.29549599689979,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,,78.080002
2007-10-12,4.07,4.113,4.205,4.369,4.602,4.594,False,False,False,0,False,False,0.0299999999999993,0.0,0.0,0.0,0.0299999999999993,0.0299999999999993,0.0299999999999993,0.0,0.0,0.0,0.0299999999999993,0.0299999999999993,0.0299999999999993,4.8121,0.0315000000000003,"0,7053","0,7040",0.7066,0.7034,,"0,13%",0.20572105399643,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,20.74,78.220001
2007-10-15,4.18,4.236,4.332,4.432,4.663,4.659,False,False,False,0,False,False,0.0630000000000006,0.0,0.0,0.0,0.0630000000000006,0.0630000000000006,0.0630000000000006,0.0,0.0,0.0,0.0630000000000006,0.0630000000000006,0.0630000000000006,4.804,-0.0080999999999997,"0,7038","0,7050",0.7061,0.702,,"-0,21%",0.28838973716452,DEU,45913.8,10.734521004456171,360.3000000000029,1015.2000000000044,5.886937017754056,6.922840916400182,19.25,78.089996
