Date,1yr,2yr,3yr,4yr,5yr,6yr,7yr,8yr,9yr,10yr,15yr,20yr,25yr,30yr,40yr,In BoJ 3dWindow,In BoJ 5dWindow,In BoJ 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,BoJ 10yr - 3dWindow Change,BoJ 10yr - 5dWindow Change,BoJ 10yr - 7dWindow Change,BoJ 10yr - Outside 3dWindow Change,BoJ 10yr - Outside 5dWindow Change,BoJ 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,Price,Open,High,Low,Vol.,Change %,Spread
2015-12-15,-0.03,-0.03,-0.009,0.01,0.036,0.047,0.077,0.142,0.212,0.29,0.652,1.049,1.228,1.361,1.481,False,False,True,True,True,True,-0.005,2.3692,0.0435000000000003,0.0,0.0,-0.005,-0.005,-0.005,0.0,-0.005,-0.005,-0.005,0.0,0.0,0.0,121.68,121.02,121.82,120.55,,0.54%,0.0
2015-12-16,-0.03,-0.025,-0.003,0.015,0.042,0.052,0.082,0.147,0.217,0.295,0.648,1.044,1.223,1.357,1.481,False,True,True,True,True,True,0.005,2.3986,0.0293999999999998,0.0,0.005,0.005,0.005,0.0,0.0,0.005,0.005,0.005,0.0,0.0,0.0,122.22,121.65,122.42,121.41,,0.44%,0.0
2015-12-17,-0.031,-0.03,-0.003,0.015,0.042,0.051,0.077,0.142,0.212,0.295,0.642,1.037,1.213,1.348,1.473,True,True,True,True,True,True,0.0,2.3249,-0.0737000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.56,122.19,122.88,122.17,,0.28%,0.0019009185979743
2015-12-18,-0.041,-0.05,-0.013,0.01,0.036,0.036,0.061,0.122,0.187,0.265,0.61,0.995,1.164,1.291,1.417,True,True,True,False,True,True,-0.0299999999999999,2.2833,-0.0415999999999998,-0.0299999999999999,-0.0299999999999999,-0.0299999999999999,0.0,0.0,0.0,0.0,-0.0299999999999999,-0.0299999999999999,-0.0299999999999999,0.0,0.0,121.22,122.55,123.6,121.04,,-1.09%,0.0
2015-12-21,-0.043,-0.035,-0.013,0.013,0.036,0.041,0.068,0.127,0.193,0.271,0.61,0.996,1.154,1.282,1.405,False,False,True,False,False,False,0.006,2.2865,0.0032,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.0,0.0,0.006,0.006,0.006,121.19,121.21,121.55,120.83,,-0.02%,0.0021286705347603
2015-12-22,-0.045,-0.042,-0.014,0.013,0.036,0.043,0.068,0.129,0.193,0.271,0.611,1.0,1.154,1.282,1.397,False,False,False,False,False,False,0.0,2.3312,0.0446999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.08,121.16,121.33,120.7,,-0.09%,0.0019088743607232
2015-12-24,-0.045,-0.04,-0.014,0.013,0.036,0.047,0.073,0.134,0.199,0.276,0.616,1.006,1.159,1.282,1.397,False,False,False,False,False,False,0.005,2.3423,0.0110999999999998,0.0,0.0,0.0,0.005,0.005,0.005,0.0,0.0,0.0,0.005,0.005,0.005,120.44,120.9,121.0,120.22,,-0.41%,0.0
2015-12-25,-0.045,-0.039,-0.015,0.013,0.042,0.048,0.073,0.134,0.199,0.277,0.616,1.01,1.159,1.282,1.397,False,False,False,False,False,False,0.001,,,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,120.42,120.46,120.48,120.02,,-0.02%,0.0009394831464599
2015-12-28,-0.048,-0.036,-0.015,0.008,0.036,0.041,0.063,0.124,0.189,0.267,0.607,1.001,1.154,1.282,1.398,False,False,False,False,False,False,-0.01,2.3308,,0.0,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.01,-0.01,-0.01,120.41,120.22,120.66,120.15,,-0.01%,0.0016393908064835
2015-12-29,-0.049,-0.035,-0.013,0.008,0.032,0.036,0.063,0.124,0.189,0.267,0.607,1.002,1.159,1.286,1.406,False,False,False,False,False,False,0.0,2.4124,0.0815999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.47,120.38,120.5,120.2,,0.05%,0.0
2015-12-30,-0.043,-0.033,-0.013,0.008,0.032,0.037,0.064,0.124,0.19,0.267,0.603,0.997,1.155,1.282,1.406,False,False,False,False,False,False,0.0,2.4102,-0.0021999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.52,120.46,120.67,120.32,,0.04%,0.0004390640741217
2016-01-04,-0.042,-0.028,-0.014,0.003,0.026,0.036,0.059,0.12,0.186,0.264,0.599,0.986,1.15,1.282,1.402,False,False,False,False,False,False,-0.003,2.3409,-0.0693000000000001,0.0,0.0,0.0,-0.003,-0.003,-0.003,0.0,0.0,0.0,-0.003,-0.003,-0.003,119.44,120.27,120.47,118.68,,-0.74%,0.0047049312602039
2016-01-05,-0.043,-0.03,-0.014,0.003,0.026,0.036,0.059,0.12,0.181,0.259,0.588,0.971,1.135,1.264,1.386,False,False,False,False,False,False,-0.005,2.3508,0.0099,0.0,0.0,0.0,-0.005,-0.005,-0.005,0.0,0.0,0.0,-0.005,-0.005,-0.005,119.06,119.41,119.71,118.77,,-0.32%,0.0
2016-01-06,-0.044,-0.029,-0.014,0.002,0.022,0.032,0.055,0.115,0.176,0.253,0.583,0.967,1.131,1.26,1.382,False,False,False,False,False,False,-0.006,2.2755,-0.0752999999999999,0.0,0.0,0.0,-0.006,-0.006,-0.006,0.0,0.0,0.0,-0.006,-0.006,-0.006,118.47,119.05,119.17,118.22,,-0.50%,0.0
2016-01-07,-0.045,-0.028,-0.014,-0.003,0.016,0.027,0.049,0.11,0.171,0.245,0.573,0.958,1.116,1.238,1.363,False,False,False,False,False,False,-0.008,2.2495,-0.0260000000000002,0.0,0.0,0.0,-0.008,-0.008,-0.008,0.0,0.0,0.0,-0.008,-0.008,-0.008,117.68,118.46,118.77,117.3,,-0.67%,0.0107458262294945
2016-01-08,-0.045,-0.031,-0.018,-0.003,0.016,0.022,0.039,0.101,0.161,0.23,0.557,0.939,1.096,1.22,1.346,False,False,False,False,False,False,-0.0149999999999999,2.2233,-0.0261999999999997,0.0,0.0,0.0,-0.0149999999999999,-0.0149999999999999,-0.0149999999999999,0.0,0.0,0.0,-0.0149999999999999,-0.0149999999999999,-0.0149999999999999,117.45,117.66,118.77,117.42,,-0.20%,0.0
2016-01-12,-0.048,-0.028,-0.018,-0.003,0.017,0.016,0.034,0.097,0.157,0.221,0.548,0.93,1.086,1.207,1.338,False,False,False,False,False,False,-0.009,2.2034,-0.0199000000000002,0.0,0.0,0.0,-0.009,-0.009,-0.009,0.0,0.0,0.0,-0.009,-0.009,-0.009,117.64,117.73,118.08,117.2,,-0.11%,0.0
2016-01-13,-0.049,-0.036,-0.019,-0.008,0.011,0.011,0.024,0.086,0.147,0.21,0.537,0.921,1.081,1.202,1.333,False,False,False,False,False,False,-0.011,2.1575,-0.0458999999999996,0.0,0.0,0.0,-0.011,-0.011,-0.011,0.0,0.0,0.0,-0.011,-0.011,-0.011,117.69,117.64,118.39,117.61,,0.04%,0.0031924254078308
2016-01-14,-0.049,-0.031,-0.016,-0.003,0.018,0.022,0.036,0.101,0.163,0.231,0.574,0.963,1.131,1.252,1.378,False,False,False,False,False,False,0.021,2.192,0.0344999999999999,0.0,0.0,0.0,0.021,0.021,0.021,0.0,0.0,0.0,0.021,0.021,0.021,118.05,117.66,118.28,117.27,,0.31%,0.0054222332191734
2016-01-15,-0.05,-0.03,-0.013,-0.003,0.017,0.017,0.028,0.091,0.154,0.221,0.564,0.956,1.129,1.252,1.382,False,False,False,False,False,False,-0.01,2.1219,-0.0701,0.0,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.01,-0.01,-0.01,117.06,118.02,118.28,116.49,,-0.84%,0.0046055434666211
2016-01-18,-0.041,-0.025,-0.013,-0.004,0.012,0.012,0.017,0.077,0.138,0.206,0.542,0.928,1.1,1.221,1.362,False,False,False,False,False,False,-0.015,,,0.0,0.0,0.0,-0.015,-0.015,-0.015,0.0,0.0,0.0,-0.015,-0.015,-0.015,117.34,116.88,117.47,116.55,,0.24%,0.0
2016-01-19,-0.042,-0.02,-0.009,0.001,0.018,0.016,0.027,0.087,0.149,0.216,0.553,0.936,1.11,1.23,1.37,False,False,False,False,False,False,0.01,2.1417,,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,117.64,117.31,118.13,117.23,,0.26%,0.0
2016-01-20,-0.012,-0.011,-0.002,0.006,0.017,0.012,0.024,0.082,0.144,0.216,0.547,0.932,1.105,1.221,1.362,False,False,False,False,False,False,0.0,2.0909,-0.0508000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.94,117.61,117.69,115.96,,-0.60%,0.0070630678126278
2016-01-21,-0.012,-0.011,0.001,0.011,0.021,0.018,0.032,0.091,0.154,0.227,0.552,0.927,1.095,1.212,1.35,False,False,False,False,False,False,0.011,2.1071,0.0161999999999999,0.0,0.0,0.0,0.011,0.011,0.011,0.0,0.0,0.0,0.011,0.011,0.011,117.7,116.92,117.83,116.45,,0.65%,0.0
2016-01-22,-0.022,-0.021,-0.003,0.006,0.017,0.016,0.034,0.097,0.16,0.237,0.557,0.932,1.096,1.208,1.342,False,False,False,False,False,False,0.0099999999999999,2.1487,0.0415999999999998,0.0,0.0,0.0,0.0099999999999999,0.0099999999999999,0.0099999999999999,0.0,0.0,0.0,0.0099999999999999,0.0099999999999999,0.0099999999999999,118.78,117.7,118.89,117.52,,0.92%,0.0034241474716055
