Date,Price,Open,High,Low,Vol.,Change %,Spread
2008-05-02,1.0577,1.0476,1.0608,1.0461,,0.94%,0.005913891328779108
2008-05-01,1.0478,1.0351,1.0511,1.0333,,1.20%,0.0
2008-04-30,1.0354,1.0375,1.0444,1.0327,,-0.24%,0.006759878289722201
2008-04-29,1.0379,1.0338,1.04,1.0314,,0.45%,0.0035485469323009934
2008-04-28,1.0333,1.0346,1.037,1.0299,,-0.05%,0.00245834741363072
2008-04-25,1.0338,1.0357,1.0432,1.0299,,-0.18%,0.004160916347626317
2008-04-24,1.0357,1.0152,1.0385,1.0144,,1.99%,0.0
2008-04-23,1.0155,1.0023,1.0173,1.002,,1.26%,0.0
2008-04-22,1.0029,1.0086,1.0133,0.9996,,-0.58%,0.006803263625016339
2008-04-21,1.0088,1.0172,1.0207,1.0062,,-0.93%,0.0
2008-04-18,1.0183,1.0065,1.0286,1.0036,,1.11%,0.00931295460195804
2008-04-17,1.0071,1.0001,1.0095,0.9957,,0.72%,0.0
2008-04-16,0.9999,1.0064,1.011,0.9936,,-0.03%,0.011574948623712571
2008-04-15,1.0002,0.9985,1.0088,0.9955,,0.14%,0.010844105942689872
2008-04-14,0.9988,1.0069,1.0078,0.9923,,-0.22%,0.00944893468981027
2008-04-11,1.001,1.0071,1.0092,0.9964,,-0.64%,0.00770436193286826
2008-04-10,1.0074,1.0012,1.0087,0.9886,,0.61%,0.00775107776343263
2008-04-09,1.0013,1.0145,1.017,0.9972,,-1.33%,0.0
2008-04-08,1.0148,1.0123,1.0159,1.0064,,0.17%,0.005141097011311162
2008-04-07,1.0131,1.0058,1.0175,1.0054,,0.69%,0.007842092014209726
2008-04-04,1.0062,1.0098,1.0131,1.0012,,-0.39%,0.0016057714163119736
2008-04-03,1.0101,1.0084,1.0219,1.0069,,0.18%,0.0
2008-04-02,1.0083,1.0117,1.0167,1.0067,,-0.43%,0.006761541186475787
2008-04-01,1.0127,0.9946,1.0142,0.9928,,1.92%,0.0
2008-03-31,0.9936,0.9927,0.9994,0.9868,,-0.15%,0.0
2008-03-28,0.9951,0.9934,0.9999,0.9911,,0.14%,0.005493872155866063
2008-03-27,0.9937,0.9888,0.999,0.9883,,0.48%,0.0054636042398016555
2008-03-26,0.989,1.0058,1.0114,0.9879,,-1.73%,0.005670771248592184
2008-03-25,1.0064,1.0185,1.0225,1.0037,,-1.29%,0.0
2008-03-24,1.0196,1.0098,1.0252,1.0093,,1.00%,0.007408069294539694
2008-03-21,1.0095,1.0073,1.0107,1.0048,,0.13%,0.0
2008-03-20,1.0082,0.9961,1.0168,0.9953,,1.13%,0.0019010045454790907
2008-03-19,0.9969,1.0034,1.0055,0.9867,,-0.55%,0.0
2008-03-18,1.0024,0.9842,1.0038,0.9784,,1.82%,0.010882411864890392
2008-03-17,0.9845,0.9896,0.9949,0.9674,,-1.40%,0.0025229678314047013
2008-03-14,0.9985,1.0089,1.0145,0.9973,,-1.07%,0.0
2008-03-13,1.0093,1.0135,1.0168,1.0044,,-0.49%,0.004061341357558192
2008-03-12,1.0143,1.0333,1.0353,1.0129,,-1.86%,0.0
2008-03-11,1.0335,1.0194,1.035,1.0146,,1.33%,0.018594718241864927
2008-03-10,1.0199,1.0227,1.0258,1.017,,-0.57%,0.004308016598956654
2008-03-07,1.0257,1.0224,1.0287,1.0133,,0.22%,0.00552181028118679
2008-03-06,1.0234,1.0366,1.0383,1.0213,,-1.25%,0.0
2008-03-05,1.0364,1.0376,1.043,1.0333,,-0.16%,0.0
2008-03-04,1.0381,1.0423,1.0433,1.0334,,-0.37%,0.008976639378454703
2008-03-03,1.042,1.0398,1.0457,1.0305,,0.08%,0.006833613021075186
2008-02-29,1.0412,1.0505,1.0529,1.0408,,-0.81%,0.0
2008-02-28,1.0497,1.0626,1.0644,1.0483,,-1.22%,0.0
2008-02-27,1.0627,1.075,1.0764,1.061,,-1.17%,0.0
2008-02-26,1.0753,1.0887,1.0918,1.0749,,-1.31%,0.0
2008-02-25,1.0896,1.085,1.0931,1.085,,0.42%,0.0011886467841238778
2008-02-22,1.085,1.0901,1.0919,1.0832,,-0.43%,0.004406020041428135
2008-02-21,1.0897,1.0999,1.1034,1.0865,,-0.92%,0.0
2008-02-20,1.0998,1.0941,1.1027,1.0934,,0.50%,0.005241461695059359
2008-02-19,1.0943,1.1014,1.1026,1.0908,,-0.73%,0.006863296544301795
2008-02-18,1.1023,1.0935,1.1048,1.093,,0.85%,0.005910641068636135
2008-02-15,1.093,1.0977,1.0988,1.0884,,-0.44%,0.0
2008-02-14,1.0978,1.1084,1.1098,1.0963,,-0.97%,0.0
2008-02-13,1.1086,1.102,1.1107,1.1008,,0.62%,0.005105122227887314
2008-02-12,1.1018,1.1022,1.1046,1.0979,,-0.03%,0.0
2008-02-11,1.1021,1.1023,1.1048,1.0945,,-0.01%,0.004351539907966357
2008-02-08,1.1022,1.104,1.1083,1.1007,,-0.14%,0.0
2008-02-07,1.1037,1.0985,1.1105,1.0932,,0.51%,0.0034803163002318474
2008-02-06,1.0981,1.0994,1.1005,1.0949,,-0.15%,0.0019506989237625678
2008-02-05,1.0998,1.0878,1.1058,1.0874,,1.05%,0.0018309273788093788
2008-02-04,1.0884,1.0887,1.0926,1.0862,,-0.09%,0.0
2008-02-01,1.0894,1.0818,1.0897,1.0731,,0.81%,0.0
2008-01-31,1.0806,1.0833,1.0861,1.0757,,-0.25%,0.006678063420192217
2008-01-30,1.0833,1.0937,1.095,1.0821,,-0.97%,0.0
2008-01-29,1.0939,1.089,1.0963,1.0884,,0.42%,0.002042356505732212
2008-01-28,1.0893,1.0959,1.0967,1.0871,,-0.70%,0.0062584030889996254
2008-01-25,1.097,1.0874,1.0991,1.0861,,0.96%,0.006991400170981559
2008-01-24,1.0866,1.0912,1.0938,1.0845,,-0.38%,0.003072351624679631
2008-01-23,1.0907,1.0949,1.0991,1.0869,,-0.44%,0.0016439876999157488
2008-01-22,1.0955,1.1083,1.1122,1.0952,,-1.20%,0.0
2008-01-21,1.1088,1.0993,1.1112,1.0991,,0.85%,0.008437308401589981
2008-01-18,1.0995,1.1003,1.1065,1.098,,-0.08%,0.0034808337746835877
2008-01-17,1.1004,1.1001,1.1088,1.0953,,0.05%,0.005371983933238134
2008-01-16,1.0998,1.0926,1.1024,1.0836,,0.62%,0.0
2008-01-15,1.093,1.0928,1.0945,1.0853,,0.00%,0.004730905846328621
2008-01-14,1.093,1.1009,1.1013,1.0884,,-0.79%,0.0
2008-01-11,1.1017,1.1027,1.105,1.0977,,-0.13%,0.0
2008-01-10,1.1031,1.117,1.1174,1.1005,,-1.15%,0.0
2008-01-09,1.1159,1.1126,1.1171,1.1104,,0.31%,0.0027626916543762522
2008-01-08,1.1124,1.1164,1.1191,1.1121,,-0.38%,0.0021440018642271703
2008-01-07,1.1166,1.1072,1.1191,1.1066,,0.79%,0.003944219552252548
2008-01-04,1.1079,1.1109,1.1164,1.1017,,-0.31%,0.004113199131709221
2008-01-03,1.1113,1.1188,1.1202,1.1102,,-0.65%,0.0
2008-01-02,1.1186,1.1331,1.1339,1.1144,,-1.34%,0.0
2008-01-01,1.1338,1.1335,1.1352,1.1315,,0.00%,0.0
2007-12-31,1.1338,1.1272,1.1374,1.1224,,0.58%,0.0009548660861081593
2007-12-28,1.1273,1.1394,1.1416,1.1254,,-1.12%,0.00614465194144188
2007-12-27,1.1401,1.1513,1.1529,1.1369,,-0.96%,0.0
2007-12-26,1.1511,1.157,1.1595,1.1489,,-0.51%,0.0
2007-12-25,1.157,1.1567,1.1629,1.1524,,0.02%,0.0019214938436436593
2007-12-24,1.1568,1.1559,1.1582,1.1525,,0.06%,0.003029728322237102
2007-12-21,1.1561,1.158,1.1597,1.1512,,-0.21%,0.003624149476126373
2007-12-20,1.1585,1.1555,1.1593,1.1542,,0.28%,0.002945380952798087
2007-12-19,1.1553,1.1516,1.1587,1.151,,0.23%,0.001951115073355917
2007-12-18,1.1527,1.1488,1.1537,1.1481,,0.40%,0.0
2007-12-17,1.1481,1.156,1.1576,1.1478,,-0.46%,0.0031238069111354963
2007-12-14,1.1534,1.1408,1.1549,1.1401,,1.05%,0.0005187206620845874
2007-12-13,1.1414,1.135,1.1452,1.1296,,0.61%,0.0
2007-12-12,1.1345,1.1307,1.1402,1.1274,,0.37%,0.005068015105241198
2007-12-11,1.1303,1.1278,1.1364,1.1254,,0.24%,0.004434254373175636
2007-12-10,1.1276,1.1279,1.1301,1.1234,,-0.04%,0.0
2007-12-07,1.128,1.1299,1.1334,1.1277,,-0.17%,0.0
2007-12-06,1.1299,1.1274,1.1354,1.1264,,0.16%,0.0035311479729842636
2007-12-05,1.1281,1.1163,1.1289,1.1153,,1.07%,0.0
2007-12-04,1.1162,1.1272,1.1321,1.1159,,-0.94%,0.009369334639253993
2007-12-03,1.1268,1.1308,1.1311,1.1249,,-0.49%,0.0024443550388664743
2007-11-30,1.1324,1.118,1.1328,1.1159,,1.27%,0.0023500645308607024
2007-11-29,1.1182,1.1105,1.1211,1.1101,,0.58%,0.0
