Date,Price,Open,High,Low,Vol.,Change %,Spread
2018-03-02,1.288,1.2893,1.2926,1.286,,-0.10%,0.003975961774491888
2018-03-01,1.2893,1.2887,1.2967,1.2871,,0.07%,0.0017806463590101722
2018-02-28,1.2884,1.2835,1.2887,1.2786,,0.36%,0.0
2018-02-27,1.2838,1.2731,1.2849,1.2707,,0.85%,0.0
2018-02-26,1.273,1.2741,1.2782,1.2669,,-0.14%,0.0002825976908039001
2018-02-23,1.2748,1.2748,1.2816,1.2741,,0.02%,0.0
2018-02-22,1.2746,1.2813,1.2836,1.2719,,-0.53%,0.004151371468648895
2018-02-21,1.2814,1.2684,1.2816,1.2652,,1.02%,0.00329307036818775
2018-02-20,1.2685,1.264,1.2702,1.2605,,0.37%,0.0
2018-02-19,1.2638,1.2636,1.2664,1.26,,0.00%,0.002718967980461858
2018-02-16,1.2638,1.2587,1.2672,1.2518,,0.41%,0.0024338322260092854
2018-02-15,1.2586,1.2619,1.2673,1.2553,,-0.25%,0.00769290715906149
2018-02-14,1.2617,1.2721,1.2867,1.2603,,-0.84%,0.0
2018-02-13,1.2724,1.2718,1.2775,1.2692,,0.04%,0.0024156409213295783
2018-02-12,1.2719,1.2803,1.2817,1.2712,,-0.61%,0.001677671071888822
2018-02-09,1.2797,1.2854,1.2891,1.2771,,-0.44%,0.0
2018-02-08,1.2853,1.2785,1.2861,1.2747,,0.53%,0.00405432878159625
2018-02-07,1.2785,1.2649,1.2794,1.264,,1.08%,0.0
2018-02-06,1.2648,1.2694,1.2765,1.2639,,-0.35%,0.008365454590363234
2018-02-05,1.2693,1.2611,1.2698,1.257,,0.56%,0.0
2018-02-02,1.2622,1.244,1.2629,1.2431,,1.47%,0.0
2018-02-01,1.2439,1.2413,1.2521,1.2393,,0.20%,0.0
2018-01-31,1.2414,1.2368,1.2446,1.2318,,0.35%,0.0
2018-01-30,1.2371,1.2353,1.2434,1.2323,,0.14%,0.008081053801388901
2018-01-29,1.2354,1.2304,1.2388,1.2304,,0.21%,0.0018010465941557953
2018-01-26,1.2328,1.2453,1.2495,1.2292,,-1.08%,0.0032757999917535823
2018-01-25,1.2463,1.2403,1.2483,1.2313,,0.47%,0.012027011829336565
2018-01-24,1.2405,1.2498,1.251,1.2368,,-0.76%,0.00475468865840707
2018-01-23,1.25,1.2474,1.257,1.2452,,0.22%,0.0
2018-01-22,1.2472,1.2507,1.2531,1.2453,,-0.32%,0.004537634407596234
2018-01-19,1.2512,1.2499,1.2526,1.2439,,0.10%,0.004801321591922253
2018-01-18,1.25,1.255,1.2594,1.2487,,-0.38%,0.0
2018-01-17,1.2548,1.2564,1.2595,1.2463,,-0.11%,0.007295007454195981
2018-01-16,1.2562,1.2554,1.2599,1.2535,,0.06%,0.0020490983305781548
2018-01-15,1.2555,1.265,1.2666,1.2531,,-0.66%,0.0027730078731213253
2018-01-12,1.2638,1.2672,1.2741,1.2629,,-0.27%,0.0
2018-01-11,1.2672,1.2751,1.2758,1.2665,,-0.62%,0.0031479863567905886
2018-01-10,1.2751,1.2783,1.2808,1.2708,,-0.24%,0.0
2018-01-09,1.2782,1.2751,1.2808,1.2712,,0.23%,0.007306481029255708
2018-01-08,1.2753,1.2735,1.2777,1.2698,,0.29%,0.002715866308865493
2018-01-05,1.2716,1.2721,1.2765,1.2698,,0.00%,0.004663745923913319
2018-01-04,1.2716,1.2761,1.2797,1.2708,,-0.38%,0.0023527300336823923
2018-01-03,1.2764,1.2772,1.2812,1.2746,,-0.06%,0.0012837470666078802
2018-01-02,1.2772,1.2811,1.2829,1.2746,,-0.31%,0.004355451692286642
2018-01-01,1.2812,1.2819,1.2825,1.2803,,-0.04%,0.0005389187145629421
2017-12-29,1.2817,1.2829,1.284,1.2776,,-0.06%,0.0006922096956252428
2017-12-28,1.2825,1.2874,1.288,1.2804,,-0.37%,0.0
2017-12-27,1.2873,1.2941,1.2949,1.2852,,-0.52%,0.0
2017-12-26,1.294,1.2964,1.2965,1.2935,,-0.14%,0.0
2017-12-25,1.2958,1.2955,1.2972,1.2932,,-0.01%,0.0018644876754147887
2017-12-22,1.2959,1.2985,1.2988,1.295,,-0.18%,0.0
2017-12-21,1.2983,1.3045,1.3067,1.2974,,-0.46%,0.0
2017-12-20,1.3043,1.3048,1.307,1.3019,,-0.05%,0.0018600837961044664
2017-12-19,1.3049,1.3049,1.3083,1.3013,,0.00%,0.003074452358230447
2017-12-18,1.3049,1.3078,1.3091,1.3025,,-0.24%,0.0033669684291878603
2017-12-15,1.308,1.3042,1.3094,1.2994,,0.27%,0.0036604720988550384
2017-12-14,1.3045,1.3093,1.3112,1.3018,,-0.37%,0.0035576594009678305
2017-12-13,1.3094,1.323,1.3242,1.3088,,-1.04%,0.0
2017-12-12,1.3231,1.3289,1.33,1.319,,-0.43%,0.0
2017-12-11,1.3288,1.3312,1.3328,1.3251,,-0.26%,0.0
2017-12-08,1.3323,1.3313,1.3333,1.3273,,0.08%,0.0028329597503345336
2017-12-07,1.3312,1.3221,1.3325,1.3209,,0.69%,0.001193964910376105
2017-12-06,1.3221,1.3142,1.323,1.3126,,0.56%,0.0
2017-12-05,1.3147,1.3164,1.3166,1.3067,,-0.10%,0.0
2017-12-04,1.316,1.3133,1.3194,1.3116,,0.14%,0.0
2017-12-01,1.3141,1.3211,1.3242,1.3087,,-0.57%,0.0034008736200316766
2017-11-30,1.3216,1.3207,1.3235,1.3164,,0.06%,0.0028258498731440892
2017-11-29,1.3208,1.3168,1.3242,1.3143,,0.32%,0.004173434913475589
2017-11-28,1.3166,1.3155,1.3179,1.312,,0.09%,0.0
2017-11-27,1.3154,1.3114,1.3171,1.3077,,0.16%,0.001646785476992259
2017-11-24,1.3133,1.3115,1.315,1.3102,,0.14%,0.0021233542728466863
2017-11-23,1.3115,1.3134,1.3155,1.3092,,-0.08%,0.0029795680118265425
2017-11-22,1.3126,1.3197,1.3239,1.3117,,-0.52%,0.0
2017-11-21,1.3195,1.3244,1.3276,1.3171,,-0.38%,0.00035710919518627327
2017-11-20,1.3245,1.3219,1.3258,1.32,,0.21%,0.0027280453060176996
2017-11-17,1.3217,1.3181,1.327,1.3141,,0.29%,0.002266360084218213
2017-11-16,1.3179,1.3177,1.3209,1.3139,,0.02%,0.0028955572777087583
2017-11-15,1.3176,1.3106,1.3206,1.3101,,0.56%,0.0033305726074175286
2017-11-14,1.3103,1.3122,1.3143,1.3072,,-0.13%,0.0
2017-11-13,1.312,1.3059,1.3134,1.3034,,0.52%,0.002510428156298022
2017-11-10,1.3052,1.3022,1.3067,1.2992,,0.24%,0.0
2017-11-09,1.3021,1.3026,1.3074,1.2994,,-0.03%,0.005125152878782285
2017-11-08,1.3025,1.3086,1.3091,1.3013,,-0.41%,0.002726475073526718
2017-11-07,1.3079,1.3001,1.3113,1.2985,,0.60%,0.00404877209386178
2017-11-06,1.3001,1.3064,1.3094,1.2999,,-0.53%,0.005811728780842693
